"V0","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53"
"1"," 4.055611e+01","-1.119006e+02","PACE","883","109","5865","4404","4977","4405","2903","3363","1399","1492","5402","1438","5663","4195","1439","639","4713","4081","4714","4947","5690","5691","778","1982","1491","4946","641","2258","1532","4518","4860","1531","3304","2648","5664","14","4844","4965","2524","1168","627","2943","5880","110","1958","420","5101","5956","4083","4080"
"2"," 4.053944e+01","-1.118967e+02","PACE","4404","639","883","5956","1438","5865","1399","109","4080","4965","3363","4195","5505","5690","5691","1982","4405","1","1491","4947","1439","4946","2943","4977","1168","4860","14","641","3304","1373","738","110","4713","1532","5101","5885","5664","4963","1531","5701","5880","2903","5503","4844","5663","4194","4518","4714","2599","5882"
"3"," 4.073972e+01","-1.118863e+02","PACE","4837","184","1907","4680","4790","1844","3266","828","2276","5461","5908","5943","329","5032","3745","557","342","2666","2995","311","3998","3855","822","2470","3841","5202","3422","5203","2061","3131","2651","4325","2428","825","1546","4383","4311","2752","2144","3711","4322","4381","2603","4340","2975","4017","1977","942","5554","2980"
"4"," 4.073972e+01","-1.118864e+02","PACE","1364","12","4619","2063","13","11","4940","8","5114","4959","5423","3582","1939","2059","4620","2581","2060","1363","6059","4517","850","4607","4608","5820","1686","260","5335","2757","2064","4700","4471","3585","5173","1757","723","2758","5421","2553","2813","4494","2065","4964","2058","2756","3750","2311","3584","1387","5025","906"
"5"," 4.122611e+01","-1.119694e+02","PACE","4273","4204","3596","5861","5849","5860","5679","1868","4234","4205","4203","5920","1869","1729","1866","1374","1867","4202","3798","5379","1092","4617","5324","5862","1634","6082","1728","1411","5356","3028","5325","3574","5326","3774","5323","438","4431","6071","439","437","4432","4540","5256","1690","1177","2225","5070","4927","4076","3665"
"6"," 3.948464e+01","-1.189036e+02","NV","369","1924","5716","2900","4615","4614","1620","5209","3504","2172","55","1883","2409","5098","5553","4665","5441","5207","370","2279","579","2286","5208","1486","6049","1877","3613","5206","5211","3505","3490","133","1072","50","4616","5551","1884","4664","5213","2285","1404","534","5205","4018","1619","2033","4416","49","5281","4663"
"7"," 3.529450e+01","-1.188540e+02","CA","3222","5034","2459","386","1969","5667","3147","3639","1968","3148","4893","4261","3637","385","2717","3558","4262","5033","2922","3638","3149","2458","3557","2716","2923","2715","2292","1166","2714","1034","5411","3117","5567","5030","1703","3924","3556","5564","4064","1165","5031","5028","5412","5566","1036","4738","5029","1167","2487","3223"
"8"," 4.076639e+01","-1.119019e+02","PACE","1939","1364","13","12","11","4619","4620","129","4494","5420","6057","5114","2553","3271","4959","3749","2065","5421","850","3937","2067","4471","2063","851","3586","5024","3582","5025","3728","2311","4940","4964","2581","778","6059","2066","4608","4083","3231","1122","5176","4607","6056","2756","3585","4700","5701","4979","5422","906"
"9"," 4.076639e+01","-1.119020e+02","PACE","11","12","1636","3585","4080","5423","13","1364","4619","2065","3586","2060","2063","3271","2249","2553","5402","4700","4517","4471","3937","3750","4607","1757","5699","1982","1758","5114","1387","4620","3595","851","3311","2064","3584","2758","2062","6059","2381","5701","640","5420","3749","3191","260","2059","2309","1939","5885","2311"
"10"," 3.814555e+01","-1.165930e+02","NV","3400","5599","4169","1016","2420","3246","3700","446","5593","3230","4582","5476","1229","5940","325","358","4482","384","1161","316","2262","315","3849","314","313","1547","3279","5238","3853","3854","3851","118","1548","1549","2729","3850","1379","466","1673","1672","2972","1380","737","6065","3784","3783","4183","286","5678","6066"
