"V0","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1"," 4.055611e+01","-1.119006e+02","PACE","32.4109938709677","31.284175","30.8082396774194","30.6993173333333","30.7487419354839","31.293236","32.595635483871","33.0651467741936","33.1455596666667","32.037075483871","31.530765","32.5596919354839"
"2"," 4.053944e+01","-1.118967e+02","PACE","32.4104906451613","31.2925664285714","30.8123470967742","30.7138756666667","30.7494980645161","31.2982086666667","32.5669551612903","33.0890529032258","33.1426763333333","32.0274535483871","31.531115","32.5540009677419"
"3"," 4.073972e+01","-1.118863e+02","PACE","52.781534516129","51.6485253571429","51.167675483871","51.0748646666667","51.1165680645161","51.6663543333333","52.9525219354839","53.4444448387097","53.521426","52.3920638709677","51.88651","52.9366316129032"
"4"," 4.073972e+01","-1.118864e+02","PACE","32.4557206451613","31.3289942857143","30.8606132258064","30.751271","30.7885887096774","31.3352413333333","32.6356593548387","33.1337938709677","33.1891096666667","32.0654996774194","31.562857","32.6183967741935"
"5"," 4.122611e+01","-1.119694e+02","PACE","32.8173870967742","31.6917917857143","31.2282151612903","31.1085013333333","31.1631777419355","31.6945333333333","32.984864516129","33.4785629032258","33.5457813333333","32.4171361290323","31.916922","32.9563716129032"
"6"," 3.948464e+01","-1.189036e+02","NV","37.2008080645161","36.0974410714286","35.6209977419355","35.5025683333333","35.5332641935484","36.0792516666667","37.3825109677419","37.8727861290323","37.950061","36.8254087096774","36.326524","37.3571109677419"
"7"," 3.529450e+01","-1.188540e+02","CA","42.5672319354839","41.4419628571429","40.9801967741936","40.869148","40.9032861290323","41.4574336666667","42.7251190322581","43.23826","43.3161443333333","42.1872716129032","41.699912","42.7318680645161"
"8"," 4.076639e+01","-1.119019e+02","PACE","32.4472793548387","31.3448792857143","30.8551629032258","30.746342","30.7960651612903","31.3293123333333","32.6352941935484","33.1094261290323","33.200165","32.0765451612903","31.564954","32.5973432258064"
"9"," 4.076639e+01","-1.119020e+02","PACE","32.4465006451613","31.3306635714286","30.8398703225806","30.7454366666667","30.7918161290323","31.328147","32.6272125806452","33.1128361290323","33.2011836666667","32.0597241935484","31.5547453333333","32.5902622580645"
"10"," 3.814555e+01","-1.165930e+02","NV","37.116215483871","35.9920321428571","35.5209751612903","35.3846333333333","35.453635483871","35.9943236666667","37.2833658064516","37.7863367741936","37.8630143333333","36.7247222580645","36.226369","37.2620748387097"
"11"," 4.076583e+01","-1.119049e+02","PACE","32.4488903225806","31.3219728571429","30.8596383870968","30.7471926666667","30.7908690322581","31.3275083333333","32.6230216129032","33.1267374193548","33.2022256666667","32.0588558064516","31.5520826666667","32.6238093548387"
"12"," 4.076583e+01","-1.119051e+02","PACE","32.4409141935484","31.3434192857143","30.8670741935484","30.7393106666667","30.7838958064516","31.325537","32.6331558064516","33.125305483871","33.1977576666667","32.0528080645161","31.5556776666667","32.6013329032258"
"13"," 4.075597e+01","-1.118873e+02","PACE","32.4567074193548","31.3523682142857","30.8542267741935","30.7499386666667","30.7882390322581","31.320155","32.6275703225806","33.1258361290323","33.19861","32.0678777419355","31.5682793333333","32.6158277419355"
"14"," 4.058861e+01","-1.119158e+02","PACE","32.4043064516129","31.2807517857143","30.8165067741935","30.7094793333333","30.7548596774194","31.2901113333333","32.579144516129","33.0766751612903","33.1605936666667","32.0236774193548","31.522282","32.5645706451613"
"15"," 3.361832e+01","-1.119277e+02","APS","21.7432390322581","20.6158046428571","20.1350406451613","20.03639","20.0594380645161","20.6225636666667","21.9203638709677","22.432574516129","22.4973646666667","21.374414516129","20.8744953333333","21.9068803225806"
"16"," 3.361832e+01","-1.119276e+02","APS","21.7386929032258","20.6212228571429","20.1500709677419","20.0345916666667","20.0933522580645","20.612421","21.9344216129032","22.4033467741935","22.4726656666667","21.3719396774194","20.8656353333333","21.8781187096774"
"17"," 3.361823e+01","-1.119276e+02","APS","21.7436209677419","20.6368696428571","20.14375","20.0346336666667","20.0891041935484","20.628341","21.9259558064516","22.4235919354839","22.482786","21.3670167741935","20.8682493333333","21.8889116129032"
"18"," 3.361816e+01","-1.119277e+02","APS","21.7388451612903","20.6271532142857","20.1426470967742","20.0515233333333","20.0778561290323","20.6283203333333","21.935344516129","22.4258280645161","22.4962016666667","21.3714548387097","20.8586416666667","21.9011570967742"
"19"," 3.361815e+01","-1.119278e+02","APS","21.7731070967742","20.6044428571429","20.1540909677419","20.0417886666667","20.0677096774194","20.6311383333333","21.9316087096774","22.3968783870968","22.4848996666667","21.3668477419355","20.858903","21.9012774193548"
"20"," 3.361818e+01","-1.119279e+02","APS","21.7529929032258","20.6192032142857","20.1504590322581","20.028053","20.0853870967742","20.6238763333333","21.9080129032258","22.4108012903226","22.4843496666667","21.3643796774194","20.8578783333333","21.8909764516129"
"21"," 3.361824e+01","-1.119280e+02","APS","21.7312929032258","20.6183567857143","20.1493203225806","20.040461","20.094805483871","20.618084","21.9322970967742","22.4221158064516","22.4804283333333","21.3599861290323","20.8585023333333","21.8975729032258"
"22"," 3.361833e+01","-1.119280e+02","APS","21.7451438709677","20.6288728571429","20.1417664516129","20.031533","20.076395483871","20.635877","21.9214932258065","22.4134070967742","22.482092","21.373925483871","20.847779","21.9007232258065"
"23"," 3.730361e+01","-1.095481e+02","PACE","27.4671580645161","26.3328632142857","25.8581667741935","25.746774","25.7963983870968","26.3281206666667","27.6321906451613","28.1175774193548","28.2025686666667","27.0697925806452","26.5621123333333","27.60697"
"24"," 4.536483e+01","-1.225979e+02","PGE","36.7968174193548","35.6765307142857","35.2113090322581","35.1077753333333","35.1418541935484","35.6781123333333","36.9729929032258","37.4771964516129","37.529712","36.4283009677419","35.913624","36.9515877419355"
"25"," 4.536483e+01","-1.225981e+02","PGE","36.7862316129032","35.6782153571429","35.2011380645161","35.0907956666667","35.1343925806452","35.6788126666667","36.9788451612903","37.490125483871","37.5673693333333","36.4203661290323","35.9067126666667","36.9380941935484"
"26"," 3.450429e+01","-1.103339e+02","APS","22.5061912903226","21.4026535714286","20.9114825806452","20.8067423333333","20.8462690322581","21.3897686666667","22.6952767741935","23.1849390322581","23.262649","22.1231087096774","21.6306906666667","22.6713635483871"
"27"," 3.450429e+01","-1.103340e+02","APS","22.5189529032258","21.3951464285714","20.9247541935484","20.8116583333333","20.8504183870968","21.398363","22.69937","23.1775967741935","23.2603796666667","22.1237674193548","21.625469","22.6697248387097"
"28"," 3.763266e+01","-1.217857e+02","CA","40.9910064516129","39.8832803571429","39.4084635483871","39.2881613333333","39.3406270967742","39.888763","41.1902709677419","41.6685819354839","41.743986","40.6192077419355","40.1093416666667","41.1651287096774"
"29"," 4.085343e+01","-1.157993e+02","NV","36.8979890322581","35.7848228571429","35.3111787096774","35.2005763333333","35.2239490322581","35.7639976666667","37.0830880645161","37.5831787096774","37.6335803333333","36.5140493548387","36.022137","37.0542416129032"
"30"," 4.085325e+01","-1.157993e+02","NV","36.8936158064516","35.7821271428571","35.3180193548387","35.1955186666667","35.2303312903226","35.792671","37.0858941935484","37.5732080645161","37.638332","36.5198438709677","36.0387366666667","37.0333470967742"
"31"," 4.085325e+01","-1.157996e+02","NV","36.9042435483871","35.7881860714286","35.3103370967742","35.1893273333333","35.2575370967742","35.783496","37.07035","37.5771996774194","37.650508","36.5187687096774","36.0171143333333","37.0537761290323"
"32"," 4.085343e+01","-1.157996e+02","NV","36.9087632258065","35.7883089285714","35.3139732258064","35.1992776666667","35.2532122580645","35.789981","37.0811190322581","37.5569035483871","37.6592453333333","36.5331732258065","36.030203","37.0583325806452"
"33"," 3.370887e+01","-1.121345e+02","APS","21.6047670967742","20.4843964285714","19.985044516129","19.8960286666667","19.9606629032258","20.4457043333333","21.7681351612903","22.2840077419355","22.332709","21.2199403225806","20.705468","21.7338812903226"
"34"," 3.370887e+01","-1.121344e+02","APS","21.5945196774194","20.4693014285714","19.9991996774194","19.8845313333333","19.9485316129032","20.472751","21.77398","22.2602893548387","22.3371073333333","21.2091558064516","20.7259343333333","21.7429819354839"
"35"," 3.370880e+01","-1.121344e+02","APS","21.5890419354839","20.478595","19.9887616129032","19.90081","19.9417816129032","20.476484","21.7677141935484","22.2646558064516","22.3218396666667","21.2078429032258","20.705422","21.7392177419355"
"36"," 3.370880e+01","-1.121345e+02","APS","21.5877709677419","20.4778453571429","20.0132351612903","19.896767","19.9422764516129","20.4854826666667","21.7778912903226","22.2582541935484","22.341973","21.2163312903226","20.7191546666667","21.7301496774194"
"37"," 3.370887e+01","-1.121346e+02","APS","21.5955880645161","20.4922314285714","20.0088541935484","19.8954336666667","19.9363296774194","20.4769836666667","21.77756","22.2710825806452","22.340204","21.1951025806452","20.705922","21.7481919354839"
"38"," 3.370895e+01","-1.121345e+02","APS","21.6035906451613","20.4735885714286","20.0114903225806","19.8900426666667","19.9245516129032","20.4703636666667","21.7813348387097","22.2767967741935","22.3336833333333","21.1991277419355","20.715114","21.7317664516129"
"39"," 3.370895e+01","-1.121344e+02","APS","21.5992796774194","20.4630839285714","20.0043958064516","19.907076","19.9199158064516","20.47123","21.7833225806452","22.2593935483871","22.337322","21.2201632258065","20.7065266666667","21.7469670967742"
"40"," 3.774000e+01","-1.214800e+02","CA","40.7133964516129","39.608165","39.1449335483871","39.0257263333333","39.0556506451613","39.610966","40.9156261290323","41.4033751612903","41.463869","40.3414596774194","39.851232","40.8890809677419"
"41"," 4.186750e+01","-1.224641e+02","PACW","36.6951867741936","35.5581714285714","35.09734","34.9657256666667","35.0211232258064","35.5661713333333","36.8535938709677","37.3589864516129","37.4158193333333","36.3049896774194","35.80101","36.8273587096774"
"42"," 4.243167e+01","-1.232981e+02","PACW","36.9596877419355","35.8511092857143","35.3764187096774","35.244349","35.29582","35.8407713333333","37.161204516129","37.6355983870968","37.7208566666667","36.5915696774194","36.0851103333333","37.1036925806452"
"43"," 3.751000e+01","-1.218400e+02","CA","42.4158193548387","41.3105246428571","40.81693","40.7231466666667","40.7549","41.2998766666667","42.5973380645161","43.1018761290323","43.1534313333333","42.0486483870968","41.5361723333333","42.5591709677419"
"44"," 0.000000e+00"," 0.000000e+00","PACE","33.7563229032258","32.6122403571429","32.165945483871","32.037603","32.0796948387097","32.6148843333333","33.9164783870968","34.4275287096774","34.4872066666667","33.3596448387097","32.860936","33.8893538709677"
"45"," 3.404260e+01","-1.173627e+02","CA","61.9489425806452","60.8368332142857","60.3446793548387","60.2510116666667","60.2901196774194","60.8331476666667","62.1371167741936","62.6355664516129","62.6747373333333","61.5788580645161","61.070728","62.1139929032258"
"46"," 3.394438e+01","-1.131793e+02","APS","26.6172764516129","25.508665","25.0430658064516","24.9221403333333","24.9758051612903","25.506634","26.8126138709677","27.2990496774194","27.370296","26.2422796774194","25.741881","26.7812870967742"
"47"," 3.394438e+01","-1.131794e+02","APS","26.6426506451613","25.4967846428571","25.0360790322581","24.9184843333333","24.955005483871","25.5118373333333","26.8070122580645","27.3018022580645","27.368973","26.2399477419355","25.7529926666667","26.7819948387097"
"48"," 3.237124e+01","-1.128551e+02","APS","21.9687529032258","20.8447667857143","20.3898996774194","20.264309","20.3109848387097","20.8540436666667","22.1476080645161","22.6307212903226","22.7198533333333","21.592774516129","21.0807836666667","22.1369074193548"
"49"," 3.949604e+01","-1.197895e+02","NV","37.2082974193548","36.1265760714286","35.64307","35.5254513333333","35.5621438709677","36.093362","37.3874280645161","37.9172206451613","37.9827786666667","36.8579309677419","36.3311653333333","37.3661606451613"
"50"," 3.949604e+01","-1.197894e+02","NV","37.2096122580645","36.0995589285714","35.633804516129","35.5246286666667","35.5726290322581","36.108413","37.3924112903226","37.8747274193548","37.9716816666667","36.8517870967742","36.342244","37.3787690322581"
"51"," 3.949595e+01","-1.197894e+02","NV","37.2341970967742","36.1089585714286","35.6437864516129","35.532409","35.5635709677419","36.1034243333333","37.4205319354839","37.8978335483871","37.972878","36.8479490322581","36.3422233333333","37.3813470967742"
"52"," 3.949589e+01","-1.197895e+02","NV","37.2254235483871","36.11128","35.6366416129032","35.5263426666667","35.5613370967742","36.111472","37.3966667741935","37.915685483871","37.9804093333333","36.8576370967742","36.3515906666667","37.3867548387097"
"53"," 3.949587e+01","-1.197896e+02","NV","37.2294638709677","36.1068735714286","35.6381287096774","35.523003","35.5714161290323","36.110242","37.401234516129","37.90186","37.9686546666667","36.8400925806452","36.3316906666667","37.3759232258065"
